session_id,date,start,stop,scene_id,words
1,2025-11-01,12:48,13:23,BG-001F,1808
2,2025-11-01,14:22,15:21,BG-002F,1633
3,2025-11-01,16:09,16:48,BG-002F,359
4,2025-11-01,19:47,,BG-003F,2154
5,2025-11-03,18:44,19:04,BG-003F,327
6,2025-11-04,12:44,13:09,BG-003F,269
7,2025-11-04,13:50,,BG-001A,563
8,2025-11-04,17:38,18:04,BG-001A,392
9,2025-11-04,18:45,19:29,BG-001A,586
10,2025-11-13,17:33:49,18:37:25,AKT-002,547
11,2025-11-13,22:00:13,22:59:38,AKT-002,717
12,2025-11-14,23:12:01,00:29:41,AKT-003,701
13,2025-11-14,20:50:50,22:14:50,AKT-003,1150
14,2025-11-15,17:51:03,18:22:31,AKT-003,545
15,2025-11-15,18:52:45,19:03:30,AKT-003,106
16,2025-11-15,19:23:43,19:41:05,AKT-004,276
17,2025-11-15,22:38:09,23:01:00,AKT-004,460
18,2025-11-18,21:45:18,00:19:24,DP-001,477
19,2025-11-19,10:05:00,10:08:49,DP-001,32
20,2025-11-19,14:20:25,15:04:08,DP-001,612
21,2025-11-19,16:35:20,17:13:03,DP-001,511
22,2025-11-19,19:18:27,19:48:24,DP-001,584
23,2025-11-19,19:59:36,20:30:21,DP-001,540
24,2025-11-19,21:21:49,21:54:05,DP-001,519
25,2025-11-19,22:57:35,23:31:46,DP-002,560
26,2025-11-19,23:37:09,23:59:59,DP-002,426
27,2025-11-20,11:07:57,12:32:26,DP-002,786
28,2025-11-20,15:46:59,15:56:10,DP-002,152
29,2025-11-20,16:00:45,16:43:00,DP-003,579
30,2025-11-20,17:40:37,18:05:06,DP-003,448
31,2025-11-20,18:46:07,19:17:16,DP-003,662
32,2025-11-20,19:45:11,20:36:23,DP-003,526
33,2025-11-20,20:46:13,21:38:29,DP-003,829
34,2025-11-21,18:34:11,19:13:43,DP-003,562
35,2025-11-21,20:36:02,21:22:28,DP-003,508
36,2025-11-21,21:41:33,22:00:27,DP-003,346
37,2025-11-21,22:20:58,23:02:49,DP-004,641
38,2025-11-21,23:08:57,23:37:00,DP-004,370
39,2025-11-22,08:54:55,09:57:05,DP-004,500
40,2025-11-22,10:06:06,10:44:38,DP-004,517
41,2025-11-22,12:21:03,12:56:18,DP-004,540
42,2025-11-22,14:47:10,15:54:54,DP-004,686
43,2025-11-22,16:06:23,17:05:13,DP-004,522
44,2025-11-22,18:41:39,19:03:00,DP-004,312
45,2025-11-22,20:49:51,22:09:37,DP-004,730
46,2025-11-22,23:16:42,23:50:31,DP-004,224
47,2025-11-24,20:05:35,21:07:08,BG-001A,606
48,2025-11-24,21:37:28,22:06:28,BG-001A,455
49,2025-11-24,22:19:13,00:17:51,BG-002A,517
50,2025-11-24,14:21:38,15:03:02,DP-004,86
51,2025-11-26,17:52:18,18:30:08,BG-002A,595
52,2025-11-26,18:56:03,19:31:23,BG-003A,500
53,2025-11-26,19:36:19,20:14:48,BG-003A,582
54,2025-11-26,20:42:00,20:50:18,BG-003A,116
55,2025-11-26,20:59:04,21:31:56,BG-004A,532
56,2025-11-26,21:41:53,21:51:19,BG-003A,148
57,2025-11-26,22:00:54,22:46:18,BG-004A,647
58,2025-11-28,13:09:07,15:08:00,BG-005A,602
59,2025-11-28,17:58:37,18:46:48,BG-005A,726
60,2025-11-28,19:15:59,20:04:31,BG-005A,680
61,2025-11-29,16:34:03,16:56:59,BG-005A,226
62,2025-11-29,17:02:44,17:38:10,BG-006A,544
63,2025-11-29,18:15:44,18:52:49,BG-006A,642
64,2025-11-29,20:13:06,20:53:41,BG-006A,615
65,2025-11-29,21:07:11,22:09:22,BG-006A,1096
66,2025-11-30,12:18:34,13:02:35,BG-007A,766
67,2025-11-30,15:23:32,16:29:27,BG-007A,1057
68,2025-11-30,17:23:11,17:49:05,BG-008A,285
69,2025-11-30,17:54:22,18:34:20,BG-008A,808
70,2025-12-04,11:17:01,12:11:50,DP-003,438
71,2025-12-04,20:48:32,21:43:47,DP-003,599
72,2025-12-05,10:28:19,11:17:30,DP-004,551
73,2025-12-06,08:24:15,09:58:43,DP-004,980
74,2025-12-06,13:46:31,14:27:22,DP-005,156
75,2025-12-06,19:05:20,19:35:44,DP-005,330
76,2025-12-06,20:13:45,21:45:52,DP-006,599
77,2025-12-07,15:10:43,15:57:57,DP-006,505
78,2025-12-07,22:01:57,23:00:55,DP-005,878
79,2025-12-13,18:20:27,18:50:41,BG-004F,501
80,2025-12-18,10:48:03,11:26:48,BG-004F,542
